M,min_time,mean_time,mean_res,std_res
100,912292.0,3.5123858639262933e6,-287.11282,55.608585
1755,1.1745722e7,2.0886014543933053e7,-226.46281,8.248887
3411,2.9058794e7,3.866375844615385e7,-221.61205,4.3558435
5066,4.7167208e7,5.864877161627907e7,-221.03888,3.468673
6722,5.9888884e7,7.348914745588236e7,-220.54532,3.2535808
8377,7.4440455e7,9.349779496296297e7,-220.08226,2.6464057
10033,9.4083763e7,1.1181270173333333e8,-220.10956,2.3611288
11688,1.10944026e8,1.2965837135897435e8,-219.48615,1.9406682
13344,1.33031312e8,1.4722179432352942e8,-219.4845,1.800252
15000,1.52279988e8,1.69846734e8,-219.02934,1.6022987
16655,1.73551015e8,1.9402328946153846e8,-219.25975,1.8702407
18311,1.88617902e8,2.1193716866666666e8,-219.00117,1.3749958
19966,2.12782905e8,2.239935135652174e8,-219.24707,1.4455392
21622,2.30749715e8,2.560071066e8,-218.9961,1.3628099
23277,2.5752772e8,2.842074853333333e8,-218.84877,1.2450193
24933,2.71597719e8,3.046738891764706e8,-218.7104,1.1766073
26588,2.91621602e8,3.047358402352941e8,-218.87604,1.1794878
28244,3.15424017e8,3.449889768e8,-218.86731,1.1234627
29900,3.40903444e8,3.6843765178571427e8,-218.81157,0.9787712
